Interactive Elements:
ID: mache-79 | Parent: mache-74 | Tag: a | Role: link | Text: "Push API" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-80 | Parent: mache-74 | Tag: a | Role: link | Text: "Service worker API" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-81 | Parent: mache-74 | Tag: a | Role: link | Text: "See all Web API guides" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-82 | Parent: mache-73 | Tag: ul | Role: ul | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.menu__panel-content > dl > dd > ul
ID: mache-83 | Parent: mache-82 | Tag: a | Role: link | Text: "Using the Web animation API" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-84 | Parent: mache-82 | Tag: a | Role: link | Text: "Using the Fetch API" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-85 | Parent: mache-82 | Tag: a | Role: link | Text: "Working with the History API" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-86 | Parent: mache-82 | Tag: a | Role: link | Text: "Using the Web speech API" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-87 | Parent: mache-82 | Tag: a | Role: link | Text: "Using web workers" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-88 | Parent: mache-10 | Tag: div | Role: div | Text: " " | Bounds: 0.4861,0.0977,0.0323,0.0343 | Path: div.navigation__popup > div.navigation__menu > nav.menu > div.menu__tab
ID: mache-89 | Parent: mache-88 | Tag: button | Role: button | Text: " " | Bounds: 0.4861,0.0977,0.0323,0.0343 | Path: nav.menu > div.menu__tab > mdn-dropdown > button.menu__tab-button
ID: mache-90 | Parent: mache-88 | Tag: div | Role: div | Text: "  " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: nav.menu > div.menu__tab > mdn-dropdown > div.menu__panel
ID: mache-91 | Parent: mache-90 | Tag: a | Role: link | Text: "All web technology" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: mdn-dropdown > div.menu__panel > p.menu__panel-title > a
ID: mache-92 | Parent: mache-90 | Tag: div | Role: div | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.menu__tab > mdn-dropdown > div.menu__panel > div.menu__panel-content
ID: mache-93 | Parent: mache-92 | Tag: ul | Role: ul | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.menu__panel-content > dl > dd > ul
ID: mache-94 | Parent: mache-93 | Tag: a | Role: link | Text: "Accessibility" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-95 | Parent: mache-93 | Tag: a | Role: link | Text: "HTTP" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-96 | Parent: mache-93 | Tag: a | Role: link | Text: "URI" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-97 | Parent: mache-93 | Tag: a | Role: link | Text: "Web extensions" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-98 | Parent: mache-93 | Tag: a | Role: link | Text: "WebAssembly" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-99 | Parent: mache-93 | Tag: a | Role: link | Text: "WebDriver" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-100 | Parent: mache-93 | Tag: a | Role: link | Text: "See all web technology references" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-101 | Parent: mache-92 | Tag: ul | Role: ul | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.menu__panel-content > dl > dd > ul
ID: mache-102 | Parent: mache-101 | Tag: a | Role: link | Text: "Media" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-103 | Parent: mache-101 | Tag: a | Role: link | Text: "Performance" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-104 | Parent: mache-101 | Tag: a | Role: link | Text: "Privacy" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-105 | Parent: mache-101 | Tag: a | Role: link | Text: "Security" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-106 | Parent: mache-101 | Tag: a | Role: link | Text: "Progressive web apps" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-107 | Parent: mache-10 | Tag: div | Role: div | Text: " " | Bounds: 0.5184,0.0977,0.0558,0.0343 | Path: div.navigation__popup > div.navigation__menu > nav.menu > div.menu__tab
ID: mache-108 | Parent: mache-107 | Tag: button | Role: button | Text: " " | Bounds: 0.5184,0.0977,0.0558,0.0343 | Path: nav.menu > div.menu__tab > mdn-dropdown > button.menu__tab-button
ID: mache-109 | Parent: mache-107 | Tag: div | Role: div | Text: "  " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: nav.menu > div.menu__tab > mdn-dropdown > div.menu__panel
ID: mache-110 | Parent: mache-109 | Tag: a | Role: link | Text: "Learn web development" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: mdn-dropdown > div.menu__panel > p.menu__panel-title > a
ID: mache-111 | Parent: mache-109 | Tag: div | Role: div | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.menu__tab > mdn-dropdown > div.menu__panel > div.menu__panel-content
ID: mache-112 | Parent: mache-111 | Tag: ul | Role: ul | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.menu__panel-content > dl > dd > ul
ID: mache-113 | Parent: mache-112 | Tag: a | Role: link | Text: "Getting started modules" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-114 | Parent: mache-112 | Tag: a | Role: link | Text: "Core modules" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-115 | Parent: mache-112 | Tag: a | Role: link | Text: "MDN Curriculum" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-116 | Parent: mache-112 | Tag: a | Role: link | Text: "Check out the video course from Scrimba, our partner" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a.external
ID: mache-117 | Parent: mache-111 | Tag: ul | Role: ul | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.menu__panel-content > dl > dd > ul
ID: mache-118 | Parent: mache-117 | Tag: a | Role: link | Text: "Structuring content with HTML module" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
ID: mache-119 | Parent: mache-111 | Tag: ul | Role: ul | Text: " " | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: div.menu__panel-content > dl > dd > ul
ID: mache-120 | Parent: mache-119 | Tag: a | Role: link | Text: "CSS styling basics module" | Bounds: 0.0000,0.0000,0.0000,0.0000 | Path: dd > ul > li > a
